epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0056,2.12007,4.30525,1.76724,0.66599,0.55102,0.5577,0.26928,1.89335,1.80176,1.56658,0.00328205,0.00328205,0.0704615
2,28.3891,1.74478,1.63526,1.4296,0.37008,0.43537,0.34335,0.1247,2.16524,2.11782,1.5659,0.00635342,0.00635342,0.0401996
3,40.5322,1.69714,1.57524,1.35376,0.70683,0.52484,0.63227,0.29342,1.90075,1.90487,1.41734,0.00916078,0.00916078,0.0096736
4,52.5927,1.6226,1.49014,1.29818,0.28176,0.23486,0.16295,0.05518,2.35627,2.85424,1.80537,0.008812,0.008812,0.008812
5,64.7551,1.67639,1.39542,1.39804,0.20069,0.14966,0.09886,0.03971,2.48566,3.73473,2.11843,0.008416,0.008416,0.008416
6,77.195,1.75905,1.39425,1.42368,0.35208,0.46579,0.33522,0.1485,2.16725,2.19902,1.67542,0.00802,0.00802,0.00802
7,89.6492,1.7008,1.36738,1.37654,0.52586,0.69388,0.65915,0.32215,1.77512,1.45971,1.4471,0.007624,0.007624,0.007624
8,102.307,1.63773,1.27094,1.3616,0.41766,0.35374,0.3478,0.15319,2.05039,2.05836,1.62099,0.007228,0.007228,0.007228
9,114.969,1.61244,1.2237,1.36174,0.72781,0.78216,0.761,0.37455,1.76166,1.24148,1.38849,0.006832,0.006832,0.006832
10,127.484,1.55892,1.15014,1.32435,0.71377,0.78035,0.82896,0.41635,1.66612,1.15976,1.3481,0.006436,0.006436,0.006436
11,139.974,1.57849,1.08757,1.33753,0.45601,0.2381,0.26132,0.13637,2.22496,3.06753,1.77456,0.00604,0.00604,0.00604
12,152.703,1.56187,1.02459,1.28335,0.71694,0.55138,0.62571,0.33068,1.83117,1.44666,1.50119,0.005644,0.005644,0.005644
13,165.236,1.58307,1.0449,1.30102,0.77264,0.83225,0.86623,0.44178,1.77287,1.07131,1.37088,0.005248,0.005248,0.005248
14,177.775,1.51734,1.02088,1.27678,0.76267,0.80952,0.85898,0.46659,1.77814,1.15881,1.41491,0.004852,0.004852,0.004852
15,190.221,1.49896,1.00595,1.25782,0.76457,0.7483,0.8215,0.41514,1.72128,1.14514,1.34777,0.004456,0.004456,0.004456
16,203.761,1.51157,0.93417,1.29259,0.84644,0.82993,0.88992,0.467,1.59253,1.02485,1.27401,0.00406,0.00406,0.00406
17,215.775,1.4694,0.93514,1.25278,0.7772,0.80952,0.85839,0.44375,1.662,1.09583,1.34613,0.003664,0.003664,0.003664
18,227.473,1.44547,0.9153,1.24774,0.79878,0.80952,0.88549,0.47922,1.71694,0.99866,1.34277,0.003268,0.003268,0.003268
19,239.598,1.44034,0.86215,1.26332,0.89077,0.83214,0.91014,0.4945,1.65579,1.05564,1.3149,0.002872,0.002872,0.002872
20,251.996,1.38291,0.8388,1.22409,0.84154,0.8671,0.89862,0.52009,1.55634,0.97396,1.30818,0.002476,0.002476,0.002476
21,264.676,1.35233,0.81412,1.21838,0.8199,0.8052,0.88743,0.48308,1.68432,1.0166,1.36451,0.00208,0.00208,0.00208
22,277.012,1.35551,0.78375,1.21672,0.8448,0.85714,0.90143,0.51576,1.645,1.02207,1.33571,0.001684,0.001684,0.001684
23,289.376,1.31908,0.75711,1.19432,0.839,0.87075,0.9085,0.48824,1.66232,1.02659,1.34606,0.001288,0.001288,0.001288
24,301.812,1.28866,0.74072,1.18611,0.87625,0.85034,0.9147,0.52277,1.64558,0.94875,1.32198,0.000892,0.000892,0.000892
25,314.283,1.26865,0.72037,1.16969,0.8246,0.89546,0.91701,0.52658,1.62896,0.90476,1.32531,0.000496,0.000496,0.000496
